Registering the account ...,Account registreren ...
No products synchronized for this category. Please come back while online!,Er zijn geen producten gesynchroniseerd in deze categorie. Kom alstublieft terug terwijl u online bent.
"Shopping cart is empty. Please add some products before entering Checkout",Uw winkelwagen is leeg. Voeg producten toe voordat u gaat afrekenen
Out of stock!,Niet in voorraad!
 is out of the stock!, is niet in voorraad!
Some of the ordered products are not available!,Niet alle bestelde producten zijn beschikbaar!
"Stock check in progress, please wait while available stock quantities are checked","Voorraadcontrole bezig. Een moment gedult alstublieft, we checken op dit moment de voorraden"
There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.,"U heeft geen internetverbinding. U kunt nog steeds een bestelling plaatsen. We laten het weten als de door u bestelde producten niet op voorraad zijn, dit kunnen we momenteel niet controleren."
No such configuration for the product. Please do choose another combination of attributes.,De gekozen productconfiguratie bestaat niet. Kies een andere combinatie.
The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.,Het is niet duidelijk hoeveel producten er exact op voorraad zijn. Het product is toegevoegd aan de winkelwagen als reservering.
This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!,"Helaas, deze feature is nog niet geimplementeerd. Kijk op https://github.com/DivanteLtd/vue-storefront/issues om de roadmap te zien."
The product is out of stock and cannot be added to the cart!,Dit product is niet in voorraad en kan niet toegevoegd worden aan de winkelwagen!
Product has been added to the cart!,Product is toegevoegd aan de winkelwagen!
Internal validation error. Please check if all required fields are filled in. Please contact us on {email},Interne validatie fout. Check of alle verplichte velden ingevuld zijn. Neem contact met ons op via {email}.
Product {productName} has been added to the compare!,Product {productName} is toegevoegd aan de vergelijking!
Product {productName} has been removed from compare!,Product {productName} is verwijderd van de vergelijking!
Product {productName} has been added to wishlist!,Product {productName} is toegevoegd aan de verlanglijst!
Product {productName} has been removed from wishlit!,Product {productName} is verwijderd van de verlanglijst
Account data has successfully been updated,Account gegevens succesvol geupdatet.
Newsletter preferences have successfully been updated,Uw nieuwsbrief voorkeur is gewijzigd.
Reset password feature does not work while offline!,De reset wachtwoordfunctie werkt niet terwijl u offline bent!
You are logged in!,U bent ingelogd!
Please fix the validation errors,Corrigeer de validatiefouten
"Product price is unknown, product cannot be added to the cart!",Productprijs onbekend. Dit product kan niet worden toegevoegd aan de winkelwagen!
My Account,Mijn Account
Type what you are looking for...,Waar bent u naar op zoek?
Home Page,Homepage
Checkout,Afrekenen
Subtotal incl. tax,Subtotaal incl. BTW
Grand total,Eindtotaal
Field is required,Veld is verplicht
Field is required.,Velden zijn verplicht.
You're logged out,Je bent uitgelogd
Compare Products,Producten vergelijken
404 Page Not Found,404 Pagina niet gevonden
Error with response - bad content-type!,Error with response - bad content-type!
"Unhandled error, wrong response format!","Unhandled error, wrong response format!"
"Are you sure you would like to remove this item from the shopping cart?","Weet u zeker dat u dit artikel uit uw mandje wilt verwijderen?"
"You need to be logged in to see this page","U moet ingelogd zijn om deze pagina te bekijken"
