"Registering the account ...","Registering the account ..."
"No products synchronized for this category. Please come back while online!","No products synchronized for this category. Please come back while online!"
"Shopping cart is empty. Please add some products before entering Checkout","Shopping cart is empty. Please add some products before entering Checkout"
"Out of stock!","Out of stock!"
" is out of the stock!"," is out of the stock!"
"Some of the ordered products are not available!","Some of the ordered products are not available!"
"Stock check in progress, please wait while available stock quantities are checked","Stock check in progress, please wait while available stock quantities are checked"
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not avaiable because we cannot check it right now."
"No such configuration for the product. Please do choose another combination of attributes.","No such configuration for the product. Please do choose another combination of attributes."
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation."
"This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!","This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!"
"The product is out of stock and cannot be added to the cart!","The product is out of stock and cannot be added to the cart!"
"Product has been added to the cart!","Product has been added to the cart!"
"Internal validation error. Please check if all required fields are filled in. Please contact us on contributors@vuestorefront.io","Internal validation error. Please check if all required fields are filled in. Please contact us on contributors@vuestorefront.io"
"Product {productName} has been added to the compare!","Product {productName} has been added to the compare!"
"Product {productName} has been removed from compare!","Product {productName} has been removed from compare!"
"Product {productName} has been added to wishlist!","Product {productName} has been added to wishlist!"
"Product {productName} has been removed from wishlit!","Product {productName} has been removed from wishlist!"
"Account data has successfully been updated","Account data has successfully been updated"
"Newsletter preferences have successfully been updated","Newsletter preferences have successfully been updated"
"Newsletter successfully subscribed. Thank you!","Newsletter successfully subscribed. Thank you!"
"You have already subscribed our newsletter","You have already subscribed our newsletter"
"Error while sending reset password e-mail","Error while sending reset password e-mail"
"Reset password feature does not work while offline!","Reset password feature does not work while offline!"
"You are logged in!","You are logged in!"
"Please fix the validation errors","Please fix the validation errors"
"You have been successfully subscribed to our newsletter!","You have been successfully subscribed to our newsletter!"
"Product price is unknown, product cannot be added to the cart!","Product price is unknown, product cannot be added to the cart!"
"You're logged in as ","You're logged in as "
"My account","My account"
"My Account","My Account"
"Logout","Logout"
"Reset password","Reset password"
"or","or"
"Log in","Log in"
"Remember me","Remember me"
"Forgot the password?","Forgot the password?"
"Log in to your account","Log in to your account"
"You must accept the terms and conditions.","You must accept the terms and conditions."
"Register","Register"
"login to your account","login to your account"
"Filter","Filter"
"Color","Color"
"Size","Size"
"Price","Price"
"Order Summary","Order Summary"
"Safety","Safety"
"Shipping","Shipping"
"Payment","Payment"
"Returns","Returns"
"Review order","Review order"
"I agree to","I agree to"
